FollowsByCommunity,screenName,followers_count,location,name,created_at,description
569,Syracuse1848,15449,"Syracuse, New York",syracuse1848,2012-10-10 15:03:30,"Official Twitter Account of the City of Syracuse, New York. Tweets from the Office of the Mayor. Follow for timely updates and important news."
303,OnondagaCounty,10476,"Syracuse, NY",Onondaga County,2013-03-11 15:22:10,"Official Twitter account of Onondaga County Government & County Executive J. Ryan McMahon, II."
283,SyracuseUNews,23639,"Syracuse, NY",Syracuse University News,2009-04-23 14:03:42,"Media Relations at Syracuse University, bringing the news to you. Follow @SyracuseU, the official university account & @SUCampus, the place for on-campus info."
236,SyracuseU,82716,"Syracuse, New York",Syracuse University,2010-03-23 15:07:30,Syracuse University is dedicated to rigorous scholarship and transformative research. #SyracuseU on-campus news: @SUCampus. Instagram: @SyracuseU. Go Orange! 🍊
231,BenWalsh44,2946,"Syracuse, NY",Ben Walsh,2012-10-27 00:13:15,"54th Mayor of the City of Syracuse, NY"
208,Cuse,140523,Syracuse NY,Syracuse Athletics,2008-12-04 21:18:11,Official Twitter account for Syracuse University Athletics
194,dailyorange,37844,"Syracuse, NY",The Daily Orange,2008-09-05 07:06:07,"The independent student newspaper of Syracuse, New York. Est. 1903."
187,VisitSyracuse,14141,"Syracuse, NY","Syracuse, New York",2008-11-17 17:11:31,"Explore | Taste | Sip | Savor |
Are you ready to visit Syracuse? #visitsyr #syrstories"
368,syracusedotcom,93861,"Syracuse, NY",syracuse.com,2008-09-27 00:17:13,"We bring you the best in Syracuse and Central New York news, sports and more."
165,downtownSYR,9128,Downtown Syracuse,Downtown Committee of Syracuse,2009-09-11 19:33:18,"We undertake programs to improve Downtown's image, strengthen its economic base, increase its attractiveness, & assure that it's clean, safe & accessible."
309,NewsChannel9,77970,"Syracuse, NY",NewsChannel 9,2008-06-16 16:24:45,"Syracuse, NY: NewsChannel 9 WSYR provides the latest news, weather and sports for Central New York. #LocalSYR"
148,syrbasketball,107259,"Syracuse, N.Y.",Syracuse Basketball,2008-05-14 20:58:54,"Syracuse University basketball news and updates from @syracusedotcom's @MikeWatersSYR, @DonnaDitota1 and @MikeACurtis2."
291,CNYCentral,83538,Central New York,CNYCentral,2009-02-11 21:24:27,"CNYCentral is your source for news, weather, entertainment & sports in Syracuse & Central New York on NBC3/WSTM, CBS5/WTVH & CW6/WSTQ."
136,Cuse_MBB,273232,"Syracuse, NY",Syracuse Basketball,2014-08-07 19:51:56,The Official Twitter of Syracuse Men's Basketball | Instagram: @cuse_mbb
122,NYSFair,50712,"Syracuse, N.Y.",New York State Fair,2009-03-31 18:53:37,August 20th- September 6th 2021
121,SyrNewTimes,11050,"Syracuse, New York",Syracuse New Times,2010-05-27 13:14:18,The official account for the Syracuse New Times | Proud to be the oldest alt-weekly in the U.S. | @AltWeeklies member
119,SPECNewsCNY,21490,"CNY, Northern NY, S. Tier",Spectrum News CNY/S.Tier,2009-02-24 16:09:25,"Spectrum News offers the best 24-hour local news, politics, and weather coverage for Central New York and the Southern Tier. "
116,CHM_McMahon,2766,,Ryan McMahon,2013-03-19 14:03:31,
115,PostStandard,23164,"Syracuse, N.Y.",The Post-Standard,2008-01-18 20:54:17,For up-to-date news follow @syracusedotcom.
113,SyracuseFirst,11122,Greater Syracuse metro area,SyracuseFirst,2009-04-28 20:12:39,"Promotes, connects, and advocates for locally owned, independent businesses in Syracuse and Central New York. #BuyLocal"
111,BelieveInSYR,9932,"Syracuse, NY",Believe in Syracuse,2013-01-31 07:24:37,Pride. Progress. Community. Believe In Syracuse is a Non-Profit that promotes civic engagement and the positive aspects of living in #Syracuse.
96,SUcampus,11369,"Syracuse, NY",SU Campus,2011-11-08 18:51:43,"Syracuse University's official account for campus news, info & events! We’re also on Facebook: @SUCampus. Follow the official #SyracuseU account: @SyracuseU."
95,CuseFootball,72419,"Syracuse, NY",Syracuse Football,2012-06-22 13:32:29,Official Twitter account of Syracuse Football | Five-time conference champions and 1959 National Champions
189,SyracusePolice,2782,"Syracuse, NY",Syracuse Police Department,2019-01-21 12:54:53,Official Syracuse Police Twitter. This page is NOT monitored 24/7. Call 911 for emergencies
94,armorysquare,9392,"Syracuse, NY",Armory Square,2009-05-15 16:03:54,"Armory Square, Syracuse, New York :: Live. Work. Play."
86,OnondagaCoParks,5151,"Syracuse, New York",OnondagaCountyParks,2009-11-12 21:07:41,"6500 acres of parkland - zoo, nature center, trails, beaches, shelters, campgrounds, ballfields, special events & more!"
85,CenterStateCEO,6431,"Syracuse, NY",CenterState CEO,2010-05-17 14:58:19,"CenterState CEO is an independent and forward-thinking economic development strategist, business leadership organization and chamber of commerce."
84,CEJRyanMcMahon,2801,,County Executive Ryan McMahon,2020-10-15 13:06:58,
84,NewhouseSU,26337,"Syracuse, NY",Newhouse School,2008-04-03 19:04:03,"Official Twitter feed of the S.I. Newhouse School of Public Communications at @SyracuseU, the nation's leading communications school"
81,SyracuseSchools,4998,"Syracuse, NY",Syracuse City School,2010-05-27 12:00:45,"The Syracuse City School District serves more than 21,000 students & 3,500 staff in Syracuse, NY. Together, we're Building Our Future! #SCSDSuccess"
78,SyracuseZoo,8622,"Syracuse, NY",Rosamond Gifford Zoo,2009-03-11 18:46:54,"Rosamond Gifford Zoo is devoted to wildlife conservation, education & #savingspecies. We are AZA-accredited."
77,therealboeheim,99604,Forever 'Cuse,Jim Boeheim,2014-11-06 23:20:51,Syracuse Men's Basketball Coach
76,AndrewDonovan,4238,"Syracuse, NY",Andrew Donovan,2008-10-03 18:37:27,"Reporter, @NewsChannel9 in Syracuse | Formerly @WKTV in Utica | Former @NBCNews Intern | @HWSColleges Alum | Links and retweets aren't endorsements."
75,SyracuseCNY,6847,New York,Syracuse CNY,2012-07-12 21:43:22,"Syracuse, New York | Brian Kingsley | Husband, Father, Grandfather & Friend | Graphic Designer | Opinions are my Own | RT ≠ Endorsement"
69,AdaptCNY,5503,"Syracuse, NY",Adapt CNY,2009-07-13 15:14:35,"Adapt CNY was created to connect, engage, and empower local creative professionals. We want to make Syracuse a more vibrant place to live, work, learn and play!"
68,CuseMLAX,54883,"Syracuse, NY",Syracuse Lacrosse,2010-02-26 17:51:19,11-time NCAA Champions 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆
68,MichaelBenny,7372,"Syracuse, NY",Michael Benny,2009-03-13 23:10:04,"News Anchor in Syracuse, NY. 5, 6 & 11pm CBS5, WTVH. 7pm NBC3, WSTM."
67,MOSTSyracuse,6780,"Syracuse, NY",MOST,2009-08-21 19:05:38,"Museum of Science & Technology. 35,000 square feet of STEAM exhibits to discover, learn & play! 🪐🦖🦕🧠🌍🧬"
66,SyracuseMets,22766,"Syracuse, NY",Syracuse Mets,2009-03-19 15:05:49,The Official Twitter of the Syracuse Mets Triple-A affiliate of the New York @Mets
65,SyracuseCrunch,30244,"Syracuse, NY",Syracuse Crunch,2008-01-22 15:02:00,Syracuse Crunch Hockey Club | Proud @theAHL affiliate of the 2020 #StanleyCup Champions @TBLightning & the @FlaPanthers #TampaCuse ⚡️👊
65,syrlandmark,7302,"Syracuse, NY",Landmark Theatre,2009-07-27 18:10:03,"..... The Historic Landmark Theatre in Downtown Syracuse .....             Theatre, Film, Concerts, Comedy, Dance, Special Events"
64,syrfootball,18629,"Syracuse, N.Y.",Syracuse Football,2008-05-14 20:46:08,"Syracuse University football news and updates from @syracusedotcom's @MinkNate, @ccarlsononSU and @MikeACurtis2."
63,iSchoolSU,10105,"Syracuse, New York",Syracuse University iSchool,2009-01-15 19:39:11,"The School of Information Studies (iSchool) at @SyracuseU offers innovative undergrad, grad & Ph.D. programs. https://t.co/RkAFmRTi3d"
63,cnybj,6714,"Syracuse, New York",CNY Business Journal,2009-06-26 15:50:55,The Central New York Business Journal is Central New York's leading source of business news and information.
57,BrentAxeMedia,22132,"Syracuse, NY",Brent Axe,2009-05-08 16:19:50,@syracusedotcom @espnsyracuse Prof-@SyracuseU. America is already great. #Bills #Sabres #RedSox #StarWars #Springsteen #FreeThrowsMatter baxe@syracuse.com
57,destinyusa,8231,"Syracuse, NY",Destiny USA,2009-08-27 15:48:32,"Shopping | Dining | Entertainment so big, we have our own zip code! Largest in NY State | 6th largest in the U.S. | Outlets | Hotel | Bald Eagles | Fun Pass"
55,WCNYCONNECTED,6834,"Syracuse, NY",WCNY,2009-03-18 14:59:41,"WCNY is CNY's multimedia organization providing compelling local and national programming, high-quality educational television, and classical music."
52,syracusestage,5666,"Syracuse, NY",Syracuse Stage,2009-05-05 06:25:18,"Central New York's premier professional theatre. We are nationally recognized for telling stories that engage, entertain, and inspire."
51,DOsports,13830,"Syracuse, NY",Daily Orange Sports,2009-03-22 20:48:36,"News, analysis and features on all Syracuse sports from the independent, student-run @dailyorange. Contact: sports@dailyorange.com. Newsletter: https://t.co/C84sKEeXGq."
49,EversonMuseum,4714,"Syracuse, NY",EversonMuseumofArt,2010-05-28 14:23:53,Modern and contemporary American art with world-renowned ceramics collection. First museum designed by I. M. Pei. #eversonmuseum #AtTheE
48,MattMulcahy,7054,"Syracuse, NY",Matt Mulcahy,2008-05-17 00:40:45,"Emmy award winning television news anchor/reporter/producer, blogger of Matt's Memo"
46,TheOncenter,4761,"Syracuse, NY",The Oncenter,2009-06-12 18:46:09,"The Oncenter, an ASM Global managed facility, is Central New York's Premiere Convention & Entertainment Venue consisting of three versatile buildings."
43,SyrArts,4821,"Syracuse, NY",Syracuse Arts,2009-03-26 03:36:18,Looking for Syracuse arts info? Want to share Syracuse arts info? That's what we've been about since 2001!
43,BridgeStreetTV,5213,"Syracuse, NY",Bridge Street,2011-05-25 17:31:29,Start Talking! Official Twitter page for Bridge Street on @NewsChannel9. Catch us weekdays at 10:00 a.m.
43,FarahJadran,5553,"Syracuse, NY",Farah Jadran,2012-04-05 18:13:45,Anchor CBS5 Morning/Noon @CNYCentral. Magazine Writer. 🇲🇽🇦🇫 #BeYou. Proud wife of @NikoTamurian. Chicago Sports Fan. 3:33 Marathon #dogmom RT≠Endorsement
42,WhitmanatSU,5512,"Syracuse, NY",Whitman School at SU,2008-11-10 16:11:25,"Official Twitter page for @SyracuseU's Martin J. Whitman School of Management, a top-rated business school for undergraduates and MBAs."
42,NewsHouse,5138,"Syracuse, NY",The NewsHouse,2009-01-23 04:14:14,"Your Resource for News, Entertainment, and What's Happening In and Around Syracuse University"
40,MegsNewsFlash,5324,"Syracuse, NY",Megan Coleman,2010-07-12 12:45:20,"Edward R. Murrow and Emmy Award winning News Anchor and Reporter for WSTM-TV, NBC 3 weekdays from 5-6:30pm"
40,SyrWomanMag,5564,"Syracuse, N.Y.",Syracuse Woman Mag,2010-12-06 00:04:05,"Since January 2011, we are #CNY's 1st & only award-winning women's #magazine. #Syracuse #Woman #Inspire"
39,RepJohnKatko,27609,"Syracuse, New York",Rep. John Katko,2015-01-07 21:51:49,Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.
39,Coach_McNamara,44196,"Scranton, PA ➡️ Syracuse, NY ",Gerry McNamara,2012-03-23 20:25:33,Husband/Father/Assistant Basketball Coach @SyracuseU https://t.co/ROa0wXE8al
38,OttosArmy,12392,"Syracuse, NY",Otto's Army,2009-09-14 18:36:01,Syracuse’s largest student fan organization. We power the Ozone! Founding member of @NCSSA_official #BleedOrange Est. 2006
38,thetechgarden,6034,"Syracuse, NY",The Tech Garden,2009-10-02 13:18:15,Let Us Help Grow Your Technology Startup! We're Central New York’s premier technology incubator. Home to the @GENIUSNYprogram and @NYSERDA Clean Tech Center.
75,SUAlums,12039,"Syracuse, New York",Syracuse Alumni🍊,2009-12-10 16:17:32,You’re Forever Orange! Connect with @SyracuseU alumni and celebrate what it means to you to #BeOrange. Insta: @SUAlums 🧡
37,LisaSpitzNews,7831,"Syracuse, NY",Lisa Spitz,2011-01-12 03:19:31,"AM anchor at NBC3 in #Syracuse. Fan of SU sports, the 80s, iced tea and voting! Proudly from Upstate NY. @LehighU & @NewhouseSU alum! #ILoveNY IG: LisaSpitzTV"
37,CuseWLAX,15396,"Syracuse, NY",Syracuse Women's Lax,2009-06-03 18:31:28,Official Twitter of the Syracuse Women's Lacrosse Team
36,JimTeskeNC9,4046,,Jim Teske,2013-01-23 21:02:03,"Chief Meteorologist-WSYR Syracuse, NY| AMS Certified Broadcast Meteorologist #477 | Also Facebook @JimTeskeNC9 and Instagram teskejim"
35,SyracUSE_CC,2412,"Syracuse, NY ",Connective Corridor,2010-07-01 17:59:48,"Award-winning urban design, creative place-making, and sustainable development initiative that links University Hill with downtown Syracuse"
35,NikoTamurian,7052,"Syracuse, NY",Niko Tamurian,2009-04-28 18:39:16,"Murrow-Winning, Emmy-nominated Sports Director for @CNYCentral (NBC, CBS, CW in Syracuse) Lucky husband of @farahjadran, Foster-Fail Dog Dad 3x, Tweets are mine"
35,WayneStormWatch,8488,"Syracuse, NY",Wayne Mahar,2011-11-28 19:50:10,"President https://t.co/HxvRZ3Dwoa, Chief Meteorologist @CNYcentral NBC/CBS/CW6 TV SYR (36 years). Founder, Priscilla Mahar Animal Welfare Foundation https://t.co/AylT4Wg8jU"
34,OnondagaEM,1205,"Syracuse, NY",Onondaga County Emergency Management,2014-01-09 13:42:42,Onondaga County Dept. of Emergency Management
34,TheOttoOrange,8438,"Syracuse, NY",Otto The Orange,2014-08-17 16:59:16,Official Mascot of Syracuse University! Check here for all things Orange! #OrangeNation
34,redhousearts,4046,"Syracuse, NY",Redhouse Arts Center,2009-04-24 14:13:08,Redhouse is a nonprofit multi-arts center located in the Armory Square district focusing on inclusive experiences through  theater & education.   315.362.2785
33,TedandAmy,4218,Syracuse NY,Ted & Amy 93Q,2009-02-27 11:07:11,Wake up with Ted and Amy weekday mornings from 5:30 to 10:00 am on @93QSyracuse!
33,CoachBabersCuse,37903,,Dino Babers,2013-12-21 00:08:17,Head Football Coach at Syracuse University
33,OnondagaCC,4748,"Syracuse, NY",OCC,2009-03-11 17:57:34,Community College located in Central New York.
33,SAatSU,4494,"Syracuse, NY",SU Student Association,2009-04-17 00:09:47,Syracuse University & SUNY ESF Undergraduate Student Government Instagram: @SAatSU
33,Coach_Hopkins,126316,"Seattle, WA",Coach Mike Hopkins,2009-04-30 16:10:51,University of Washington Men's Basketball Head Coach | Former USA Basketball Men's National Team Coaching Staff #GoHuskies #TougherTogether
33,NunesMagician,27050,"Syracuse, in theory",NunesMagician.com,2007-04-11 21:10:58,The Syracuse Orange blog that loves you back. You should read How To Grow An Orange (https://t.co/PuQ9BUU1EZ). News/Tips: TNIAAM@gmail.com
150,NYGovCuomo,2615625,New York,Andrew Cuomo,2010-12-30 17:54:04,"Father, fisherman, motorcycle enthusiast, 56th Governor of New York"
31,OnondagaHisAssn,3206,"Syracuse, NY",OHA,2010-11-17 18:47:42,"OHA is a private nonprofit educational association of heritage related services, museums, research & educational centers, & retail operations."
31,JeffNC9,1435,"Syracuse, NY",Jeff Kulikowsky,2014-05-06 16:46:34,"Anchor/Reporter, @NewsChannel9 WSYR-TV Syracuse, NY. #LocalSYR"
31,SyracuseDPS,2800,"Syracuse, NY",SU Public Safety,2011-03-04 17:16:11,"This official feed will provide news and updates from Syracuse University DPS. For police assistance, please call 315.443.2224. Account is not monitored 24/7."
31,CafeKubal,4480,"Syracuse, NY, USA",Cafe Kubal,2009-05-11 00:02:05,Proud local coffee roaster in Syracuse. ☕☕☕ #cafekubal #coffeeforthesoul
30,walsh4syracuse,905,,Ben Walsh for Syracuse,2017-02-17 15:11:31,"Campaign Account for Ben Walsh, Independent Mayor of the City of Syracuse, NY. #KeepRising"
29,BrandonRothCNY,4210,Syracuse,Brandon Roth,2012-12-12 14:27:41,"Reporter/Anchor at WSTM-TV, NBC 3. Graduate of @Cornell & @columbiajourn. Proud to serve  @USArmyReserve."
29,PeteWeatherBeat,6526,"Syracuse, NY",Peter Hall,2009-04-28 14:03:46,"NYS Associated Press & Syracuse Press Club award winning AM meteorologist for NBC3 Today in CNY, & @CNYCentral. Foodie, drummer."
28,syracuseFD,1582,"511 S State St, Syracuse, NY",Syracuse Fire Dept,2013-12-23 22:29:42,"The Syracuse Fire Department is an all-hazards ISO Class 1 fire department that proudly serves a population of 145,000 citizens in 25 square miles."
28,UpstateNews,6507,"Syracuse, N.Y.",SUNY Upstate Medical University,2009-06-16 17:03:49,"The region's only academic medical center featuring four colleges, Upstate University Hospital, Upstate Cancer Center and Upstate Golisano Children's Hospital."
28,GiffordFdn,2586,"Syracuse, NY",Gifford Foundation,2009-09-16 16:16:35,"Grantmaking, philanthropy, community engagement, leadership and capacity building. Fostering growth and encouraging change throughout Central NY since 1954."
27,EngineeringSU,2633,"Syracuse, NY",Syracuse Engineer,2010-03-02 20:03:19,"@SyracuseU's College of Engineering & Computer Science. A vibrant, inclusive community of innovators with the spirit to seek."
27,LeMoyne,6561,"Syracuse, NY",Le Moyne,2008-05-22 17:26:46,Experience the difference a Jesuit education will make in your life and the difference you will make in the world!
27,sunyesf,7224,"Syracuse, NY",SUNY-ESF,2009-04-10 12:53:51,We are the oldest college in the US focusing on study of the environment.  #SUNYESF.  Improve your world.
27,OnondagaSheriff,1102,407 S. State Street Syracuse ,Onondaga Co. Sheriff,2015-03-08 20:18:17,Members of the Onondaga County Sheriff's Office are highly trained professionals who provide a wide range of law enforcement services.
27,MattPark1,10081,"Syracuse, NY",Matt Park,2009-04-23 03:39:10,Voice of the Orange at Syracuse University #SUvoice Audio provided by @IMGCollege http://t.co/pPwJoNJrdI
27,carmeloanthony,9223288,WORLDWIDE,Carmelo Anthony,2009-05-25 10:30:34,Official Page of Carmelo Anthony.
27,CuseWBB,13652,"Syracuse, N.Y.",'Cuse Hoops,2012-01-09 19:09:49,The official account of Syracuse Women’s Basketball 🍊🏀 | 2016 National Finalist | #Tough4T
27,SyracuseFire,2430,"ÜT: 43.028552,-76.142549",Syracuse Fire,2009-06-26 20:36:04,Retired Syracuse Fire Fighters Local 280 Fire Fighter. Current staffing is 366 members. ISO Class 1 rating. Posting working fires & other info.
25,ArtSciencesSU,2946,"Syracuse, NY",SU Arts & Sciences,2013-08-14 12:22:28,"The College of Arts and Sciences at @syracuseu provides a personalized liberal arts experience, preparing students for a lifetime of success."
25,chrsbakr,4361,"Syracuse, NY",Chris Baker,2009-03-04 19:57:01,"Covering politics, policy & people for @syracusedotcom / Post-Standard | Adjunct @SyracuseU | Newhouse & Geneseo alum | All opinions someone else's"
25,JenSandersTV,2977,"Austin, TX",Jennifer D. Sanders,2014-05-09 19:23:49,Psalm 91. Murrow award-winner. Documentarian. Anchor | Reporter @KXAN_News. People-lover. Texan. #AKA1908. 🎙@OnAirTLR. Let’s connect: Jennifer.Sanders@KXAN.com
25,CuseActivities,1907,"Syracuse, NY",SUStudentActivities,2011-11-15 21:41:05,"We are the Office of Student Activities @SyracuseU. Find updates on recognized student organizations, Orange Pride, Orange After Dark & leadership initiatives!"
24,SyracuseAirport,3611,"Syracuse, NY",Syracuse Airport,2013-03-15 14:41:35,Welcome to the official Twitter page of Syracuse Int'l Airport. The account is monitored Mon-Fri 8a-5p. Please contact airline directly after business hours.
24,NYSDOTSyracuse,2339,"Syracuse, NY",NYSDOT Central NY,2013-05-17 15:00:00,New York State Department of Transportation covering Syracuse and Central New York
24,cnylacrosse,6649,"Syracuse, N.Y.",Syracuse Lacrosse,2009-01-21 17:33:23,"Syracuse University men's lacrosse news, along with other lacrosse news and updates from @syracusedotcom."
48,seankirst,6350,,sean kirst,2009-03-25 16:28:03,"Columnist for The Buffalo News, storyteller, TedX speaker, Godfather of international Tolkien Reading Day and Upstate journalist since 1974, loyalist for life."
24,SyracuseULib,2051,"Syracuse, New York",SU Libraries,2011-06-28 13:41:38,"The official account of Syracuse University Libraries, including Bird Library, Carnegie Library, the King + King Architecture Library, and The Facility."
23,hanover_sq,2726,"Syracuse, NY",Hanover Square,2010-05-20 20:04:50,"Home to many great restaurants, shops, and more in Downtown Syracuse"
23,MaxwellSU,5880,"Syracuse, NY",Maxwell School,2010-06-29 13:13:53,"News, research and info from the Maxwell School of Citizenship and Public Affairs at Syracuse University. For alumni updates and events, follow @MaxwellAlumni ."
23,CarrieLazarus,3571,"Syracuse, NY",carrie lazarus,2010-09-05 14:17:11,"TV news anchor. Founder, Carrie Lazarus Fund for Extraordinary Talent. Love my husband, girls, garden, golf and the lake. Glass always half full."
23,SU_VPA,3666,"Syracuse, New York",SyracuseU VPA,2011-03-02 20:58:57,The official Twitter account of Syracuse University's College of Visual and Performing Arts. Tweets by our Social Media Team.
22,advancemediany,3457,"Syracuse, NY | 315-470-0032 ",Advance Media NY,2013-04-26 20:18:08,@advancemediany is Upstate New York's digital marketing and media company.
22,CCascianoNC9,1464,"Syracuse, NY",Christie Casciano,2014-05-06 16:32:53,"Anchor, @NewsChannel9  4, 5, 6 & 11pm Keeping neighborhoods safe through https://t.co/lm3YcojBYZ. #LocalSYR"
22,SyracuseGuru,3377,"Syracuse, New York",Syracuse Guru,2011-02-11 22:24:13,
22,SyracuseCareer,5998,"Syracuse, NY",Syracuse Career Services,2011-05-02 14:00:25,"Official announcements from Syracuse University Career Services. Events, career advice, job/internships, and more!"
22,katrinatulloch,4183,ktulloch@syracuse.com,Katrina Tulloch,2011-05-06 03:39:43,"Video journalist @syracusedotcom • President of @syrpressclub • Adjunct prof @SyracuseComm, @NewhouseSU • Post-Standard ed. board member • 🇵🇭🏴󠁧󠁢󠁳󠁣󠁴󠁿"
22,R_Xmas25,47691,USVI✈️Philly✈️Cuse✈️Loading...,Rakeem Christmas,2009-05-01 21:55:43,Forward/Center #SyracuseUniversityAlum #CBD #TheySleep #SnpGd #GasSzn
22,MySouthSide,1239,Zip Code 13205,Stand Director,2009-07-29 19:02:30,Covering the South Side of Syracuse
22,HendricksChapel,1232,"Syracuse, NY",Hendricks Chapel,2012-06-28 13:35:38,"The diverse religious, spiritual, ethical and cultural heart of @SyracuseU, connecting students to SU campus and the Syracuse community #BeHomeAtHendricks"
22,joedriscoll315,838,"Syracuse, NY",Joseph Driscoll,2017-01-17 00:53:18,"""I treat horses good, and I'm friendly to strangers.""- Woody Guthrie"
43,Wegmans,203680,"Rochester, New York",Wegmans Food Markets,2009-08-17 20:53:59,The official twitter account for Wegmans Food Markets.
21,SUinNYC,5469,"11 E. 61st St New York, NY",SUinNYC,2010-02-02 19:26:19,Syracuse University in New York City - @SyracuseU - #SUinNYC - https://t.co/wdgnYRjHvo
21,camilluspolice,1265,"Camillus, New York",Camillus Police,2011-03-17 13:09:12,"In order to reduce crime and enhance the quality of life Camillus, we recognize the need to effectively communicate with the community."
21,universityunion,7390,"Syracuse, NY",UNIVERSITY UNION,2009-03-29 03:24:21,The official programming board of Syracuse University - keeping you entertained since '62. Follow us on Instagram (@universityunion) and Facebook!
21,93QSyracuse,2593,"Syracuse, NY",93Q,2009-03-30 21:16:25,93Q The #1 Hit Music Station! @TedandAmy in the Morning • @Rick93Q • @ZachSangShow
21,CCasciano,3350,"Syracuse, New York",Christie Casciano,2011-10-03 16:19:32,"USA Hockey Magazine hockey mom columnist, My Kids Play Hockey & The Puck Hog author, television anchor, SU grad, hockey mom."
21,FocusSyracuse,2391,"Syracuse, NY",FOCUSGreaterSyracuse,2012-02-07 00:47:55,FOCUS is a citizen-driven organization that taps citizen creativity & engagement to impact change in CNY. Sponsor of the Citizens Academy.
21,cusesigel,16829,,Syracuse Basketball,2012-03-21 19:31:07,Staff writer for @NunesMagician
21,Cuse_Tennis,847,"Syracuse, NY",Syracuse Tennis,2009-08-28 18:11:01,Official Twitter account of Syracuse Women's Tennis. Member of @TheACC.
21,SyracuseCoE,2272,"Syracuse, NY",SyracuseCoE,2009-10-05 12:58:00,SyracuseCoE is an industry-university collaborative organization that creates environmental and energy innovations for a sustainable future.
21,lhandsyr,2531,,Laura Hand,2012-09-13 13:18:58,"retired TV News anchor Weekend Today in Central New York, still equestrienne, gardener & partner, Therapy Dog 'Moose'"
20,CNYCF,2045,"Syracuse, NY",Central New York Community Foundation,2013-01-08 17:37:02,"Fostering a thriving #CNY community, inspiring greater giving and stewarding charitable resources for today and tomorrow."
20,VeraHouseInc,2933,"Syracuse, New York","Vera House, Inc.",2013-03-28 17:57:42,"We're a nonprofit dedicated to ending domestic violence, sexual assault & elder abuse | 24/7 Support: 315-468-3260 | Administration: 315-425-0818"
20,OnondagaDOT,858,"Syracuse, NY",OnondagaDOT,2013-06-13 13:03:44,Onondaga County Department of Transportation
20,KateThorntonNC9,3043,"Syracuse, NY",Kate Thornton,2009-04-03 00:31:55,"Morning Meteorologist @NewsChannel9 Syracuse, NY. Wife. Mother. Volleyball, dog, weather lover. @ualbany alum. Saugerties native. Tweets are my own https://t.co/ySzCaNMcu9"
20,SyracuseCoworks,2942,"555 S Clinton St, Syracuse, NY",Syracuse Coworks,2012-08-08 14:23:24,"A collaborative workspace for entrepreneurs, freelancers & independent workers. Come visit us at our new location opening soon!"
19,DaveLongleyNC9,2962,Syracuse,Dave Longley,2010-07-18 01:34:08,Assistant News Director for WSYR-TV in  Syracuse
19,SarahMoses315,5983,"Syracuse, NY",Sarah Moses Buckshot,2009-01-23 03:24:18,...I remember whose daughter I am and I straighten my crown 👑
19,scoopjardine,29239,,Scoop Jardine,2011-01-05 03:16:57,
19,CrouseHealth,2918,"Syracuse, NY",Crouse Health,2009-06-23 16:08:42,"Our mission: To provide the best in patient care and to promote community health.
#TakeMeToCrouse #CrouseStrong"
18,syrpressclub,2357,"Syracuse, NY",Syracuse Press Club,2011-01-12 21:52:53,Syracuse Press Club is a nonprofit professional and social organization for members of the news media in Central New York.
